ano,uf_codigo,internacoes_por_lesao,com_causa_externa,pct_preenchido
2012,14,2965,2844,0.9591905564924115
2012,15,43980,41870,0.9520236471123238
2012,16,2631,2474,0.9403268719118206
2012,17,12833,9095,0.7087197070053768
2012,21,27920,24557,0.8795487106017192
2012,22,17348,16334,0.9415494581507955
2012,23,42301,42069,0.994515496087563
2012,24,11542,11392,0.9870039854444637
2012,25,14960,14880,0.9946524064171123
2012,26,42466,42022,0.989544576837941
2012,27,10886,10807,0.9927429726253905
2012,28,6663,6586,0.9884436440042023
2012,29,61590,57364,0.9313849650917356
2012,31,112912,109765,0.9721287374238345
2012,32,18428,16587,0.9000976774473627
2012,33,51512,50490,0.9801599627271316
2012,35,226085,223535,0.9887210562399098
2012,41,76332,75019,0.98279882618037
2012,42,39416,38896,0.9868073878627969
2012,43,52855,50149,0.9488033298647243
2012,50,17667,17383,0.9839248316069508
2012,51,21480,20952,0.9754189944134078
2012,52,41028,39032,0.9513502973579019
2012,53,13412,13208,0.9847897405308679
2013,11,12139,11597,0.95535052310734
2013,12,5119,4992,0.9751904668880641
2013,13,11506,9453,0.8215713540761342
2013,14,2601,2519,0.968473663975394
2013,15,49121,46012,0.936707314590501
2013,16,2388,2261,0.9468174204355109
2013,17,13559,9321,0.6874400767018217
2013,21,33006,27380,0.8295461431254924
2013,22,19364,18391,0.94975211733113
2013,23,46288,45754,0.9884635326650536
2013,24,11540,11379,0.986048526863085
2013,25,14904,14807,0.993491680085883
2013,26,45894,45165,0.9841155706628317
2013,27,12042,11871,0.9857997010463379
2013,28,7844,7510,0.9574196838347782
2013,29,61910,56998,0.9206590211597481
2013,31,121097,116955,0.9657960147650231
2013,32,21450,18785,0.8757575757575757
2013,33,58226,56736,0.9744100573626902
2013,35,226122,222333,0.9832435587868495
2013,41,77049,74105,0.9617905488714974
2013,42,41377,39954,0.9656089131643183
2013,43,57869,53735,0.9285627883668285
2013,50,18943,18695,0.98690809269915
2013,51,25179,24656,0.9792287223479884
